OBJECTID,Precinct,TownshipName,TownshipCode,PrecinctName,PrecinctID,Label,PollingID,Format,LastEditor,LastUpdate,Notes,ShapeSTArea,ShapeSTLength
245,50028,Milton,5,Milton 28,5-28,28,76,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7126555.082009882,11717.080005737325
246,50031,Milton,5,Milton 31,5-31,31,86,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9167372.58934966,18835.38812634818
247,50038,Milton,5,Milton 38,5-38,38,118,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8329165.782712185,15011.475969298388
248,50043,Milton,5,Milton 43,5-43,43,180,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8848837.491599692,11999.126804721684
249,50039,Milton,5,Milton 39,5-39,39,118,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8358724.215865705,14070.32917810274
250,50042,Milton,5,Milton 42,5-42,42,925,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6968012.298013612,11163.255600697003
251,50054,Milton,5,Milton 54,5-54,54,922,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,10553467.901016876,13903.558258183886
252,50053,Milton,5,Milton 53,5-53,53,486,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,20342656.123404283,22936.80732407234
253,50051,Milton,5,Milton 51,5-51,51,521,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,4969005.737277166,11620.75061167415
254,50020,Milton,5,Milton 20,5-20,20,706,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6610017.405623269,13621.097416284447
255,50018,Milton,5,Milton 18,5-18,18,212,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8691876.232690107,14659.540151649466
256,50017,Milton,5,Milton 17,5-17,17,851,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7424510.333748664,11103.877488774477
257,50015,Milton,5,Milton 15,5-15,15,161,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,18655517.63078058,21466.30427483382
258,50013,Milton,5,Milton 13,5-13,13,149,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8062436.101664453,14650.67391247093
259,50019,Milton,5,Milton 19,5-19,19,212,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6174806.990286674,12281.43681061535
260,50014,Milton,5,Milton 14,5-14,14,161,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,13303974.693647217,18826.333628394696
261,50029,Milton,5,Milton 29,5-29,29,212,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7111461.135638276,12596.454252589081
